,theta2,theta3,theta1,theta4
1895,135.67785714285714,313.17571428571426,249.45714285714286,201.40214285714288
1896,135.6942857142857,313.15999999999997,249.44214285714287,201.42071428571427
1897,135.71571428571428,313.1378571428572,249.41428571428574,201.44
1898,135.73,313.1221428571429,249.4042857142857,201.45357142857142
1899,135.74428571428572,313.1092857142857,249.38714285714286,201.46785714285716
1900,135.75857142857143,313.09285714285716,249.37214285714285,201.48285714285717
1901,135.775,313.075,249.35785714285717,201.49714285714285
1902,135.79142857142855,313.0578571428572,249.3414285714286,201.51642857142858
1903,135.79785714285714,313.0514285714286,249.335,201.52214285714285
1904,135.80928571428572,313.0392857142857,249.32142857142858,201.53428571428572
1905,135.8192857142857,313.0285714285714,249.31071428571428,201.54500000000002
1906,135.82714285714286,313.0207142857143,249.30214285714285,201.555
1907,135.835,313.01142857142855,249.29214285714286,201.56285714285715
1908,135.84285714285713,313.00428571428574,249.285,201.57071428571427
1909,135.84785714285712,312.9978571428572,249.27785714285713,201.57571428571427
1910,135.85357142857143,312.99142857142857,249.2707142857143,201.58285714285714
1911,135.85714285714286,312.98857142857145,249.26642857142858,201.58714285714285
1912,135.85999999999999,312.985,249.26285714285714,201.59214285714285
1913,135.86142857142858,312.98285714285714,249.26142857142855,201.59285714285716
1914,135.86285714285714,312.9814285714286,249.2592857142857,201.59357142857144
1915,135.86285714285714,312.9814285714286,249.2592857142857,201.59357142857144
1916,135.86285714285714,312.9814285714286,249.2592857142857,201.59285714285716
1917,135.86285714285714,312.98214285714283,249.26,201.59285714285716
1918,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1919,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1920,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1921,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1922,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1923,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1924,135.86285714285714,312.98214285714283,249.2592857142857,201.59214285714285
1925,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1926,135.86285714285714,312.98214285714283,249.2592857142857,201.59214285714285
1927,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1928,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1929,135.86285714285714,312.98214285714283,249.26,201.5914285714286
1930,135.86285714285714,312.98214285714283,249.26,201.5914285714286
1931,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1932,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1933,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1934,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1935,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1936,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1937,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1938,135.86285714285714,312.98214285714283,249.26,201.59214285714285
1939,135.86499999999998,312.98285714285714,249.2607142857143,201.59285714285716
1940,135.86857142857144,312.985,249.26285714285714,201.5957142857143
1941,135.87285714285716,312.98928571428576,249.26785714285714,201.60071428571428
1942,135.88,312.99571428571426,249.27428571428572,201.60857142857142
1943,135.8857142857143,312.9992857142857,249.2792857142857,201.61357142857145
1944,135.8957142857143,313.0078571428571,249.28785714285715,201.62142857142857
1945,135.90428571428572,313.01785714285717,249.29642857142858,201.62857142857143
1946,135.91714285714286,313.0292857142857,249.31071428571428,201.64285714285714
1947,135.92857142857142,313.0421428571429,249.32071428571427,201.65571428571428
1948,135.94285714285715,313.05428571428575,249.33214285714286,201.67000000000002
1949,135.95642857142857,313.0657142857143,249.3457142857143,201.68285714285713
1950,135.9742857142857,313.08214285714286,249.35999999999999,201.70000000000002
1951,135.99642857142857,313.1042857142857,249.3814285714286,201.72285714285712
1952,136.01357142857142,313.12,249.39714285714285,201.73785714285714
1953,136.035,313.1407142857143,249.41428571428574,201.75571428571428
1954,136.05642857142857,313.1635714285714,249.43928571428572,201.77642857142857
1955,136.08214285714286,313.1892857142857,249.4635714285714,201.79928571428573
1956,136.10285714285715,313.20285714285717,249.48357142857142,201.82357142857146
1957,136.13142857142856,313.235,249.51500000000001,201.85071428571428
1958,136.155,313.25857142857143,249.53928571428574,201.8742857142857
1959,136.185,313.28357142857146,249.56571428571428,201.905
1960,136.215,313.31357142857144,249.59785714285712,201.935
1961,136.24428571428572,313.3442857142857,249.62285714285713,201.9592857142857
1962,136.27357142857142,313.3735714285714,249.6585714285714,201.99214285714285
1963,136.31357142857144,313.4157142857143,249.69642857142858,202.02785714285713
1964,136.3492857142857,313.44571428571425,249.73428571428573,202.06214285714285
1965,136.3857142857143,313.48214285714283,249.76285714285714,202.09785714285712
1966,136.425,313.51928571428573,249.79999999999998,202.13714285714286
1967,136.46357142857144,313.55571428571426,249.84,202.18142857142857
1968,136.505,313.59785714285715,249.87928571428571,202.22214285714287
1969,136.54714285714286,313.6392857142857,249.9192857142857,202.25571428571428
1970,136.58357142857145,313.68142857142857,249.95285714285714,202.2942857142857
1971,136.62428571428572,313.71571428571434,250.0007142857143,202.34
1972,136.6757142857143,313.76214285714286,250.04214285714286,202.39071428571427
1973,136.7307142857143,313.82,250.1042857142857,202.43571428571428
1974,136.76785714285714,313.84999999999997,250.14357142857145,202.47714285714284
1975,136.82571428571427,313.9157142857143,250.20499999999998,202.53714285714287
1976,136.86714285714285,313.9507142857143,250.24142857142857,202.57142857142858
1977,136.93428571428572,314.0235714285714,250.30285714285714,202.63714285714286
1978,136.97642857142858,314.05642857142857,250.35071428571428,202.695
1979,137.02928571428572,314.11785714285713,250.39785714285716,202.74
1980,137.08785714285713,314.18,250.45857142857145,202.79785714285714
1981,137.13857142857142,314.2264285714286,250.50857142857143,202.84714285714287
1982,137.20499999999998,314.2885714285714,250.56785714285712,202.91785714285714
1983,137.25642857142856,314.34000000000003,250.62714285714287,202.95214285714286
1984,137.315,314.40285714285716,250.67785714285714,203.02
1985,137.38214285714284,314.4592857142857,250.75,203.08714285714285
1986,137.45,314.5242857142857,250.81642857142856,203.15357142857144
1987,137.51785714285714,314.59785714285715,250.8842857142857,203.23499999999999
1988,137.5742857142857,314.65500000000003,250.92285714285714,203.275
1989,137.65142857142857,314.73785714285714,251.01142857142855,203.345
1990,137.72714285714287,314.8157142857143,251.0885714285714,203.42857142857142
1991,137.7942857142857,314.8757142857143,251.145,203.48857142857145
1992,137.8607142857143,314.93,251.20714285714286,203.55142857142854
1993,137.92142857142858,314.9921428571429,251.28428571428572,203.62785714285715
1994,138.00214285714284,315.07071428571425,251.37142857142857,203.70071428571427
1995,138.0857142857143,315.15000000000003,251.44214285714287,203.7792857142857
1996,138.175,315.2557142857143,251.54,203.88714285714286
1997,138.22857142857143,315.3021428571428,251.5842857142857,203.935
1998,138.30714285714285,315.3778571428571,251.65214285714288,204.0007142857143
1999,138.39142857142858,315.46500000000003,251.7435714285714,204.10357142857143
2000,138.4842857142857,315.55285714285714,251.82357142857146,204.18928571428572
